2020-04-23 00:00:00,2020-04-22 00:00:00,2020-04-21 00:00:00,2020-04-20 00:00:00,2020-04-19 00:00:00,2020-04-18 00:00:00,2020-04-17 00:00:00,2020-04-16 00:00:00,2020-04-15 00:00:00,2020-04-14 00:00:00,2020-04-13 00:00:00,2020-04-12 00:00:00,2020-04-11 00:00:00,2020-04-10 00:00:00,2020-04-09 00:00:00,2020-04-08 00:00:00,2020-04-07 00:00:00,2020-04-06 00:00:00,2020-04-05 00:00:00,2020-04-04 00:00:00,2020-04-03 00:00:00,2020-04-02 00:00:00,2020-04-01 00:00:00,2020-03-31 00:00:00,2020-03-30 00:00:00,2020-03-29 00:00:00,2020-03-28 00:00:00,2020-03-27 00:00:00,2020-03-26 00:00:00,2020-03-25 00:00:00,2020-03-24 00:00:00,2020-03-23 00:00:00,2020-03-22 00:00:00,2020-03-21 00:00:00,2020-03-20 00:00:00,2020-03-19 00:00:00,2020-03-18 00:00:00,2020-03-17 00:00:00,2020-03-16 00:00:00,2020-03-15 00:00:00,2020-03-14 00:00:00,2020-03-13 00:00:00,2020-03-12 00:00:00,2020-03-11 00:00:00,2020-03-10 00:00:00,2020-03-09 00:00:00,2020-03-08 00:00:00,2020-03-07 00:00:00,2020-03-06 00:00:00,2020-03-05 00:00:00,2020-03-04 00:00:00,2020-03-03 00:00:00,2020-03-02 00:00:00,2020-03-01 00:00:00,2020-02-29 00:00:00,2020-02-28 00:00:00,2020-02-27 00:00:00,2020-02-26 00:00:00,2020-02-25 00:00:00,2020-02-24 00:00:00,2020-02-23 00:00:00,2020-02-22 00:00:00,2020-02-21 00:00:00,2020-02-20 00:00:00,2020-02-19 00:00:00,2020-02-18 00:00:00,2020-02-17 00:00:00,2020-02-16 00:00:00,2020-02-15 00:00:00,2020-02-14 00:00:00,2020-02-13 00:00:00,2020-02-12 00:00:00,2020-02-11 00:00:00,2020-02-10 00:00:00,2020-02-09 00:00:00,2020-02-08 00:00:00,2020-02-07 00:00:00,2020-02-06 00:00:00,2020-02-05 00:00:00,2020-02-04 00:00:00,2020-02-03 00:00:00,2020-02-02 00:00:00,2020-02-01 00:00:00,2020-01-31 00:00:00,2020-01-30 00:00:00,2020-01-29 00:00:00,2020-01-28 00:00:00,2020-01-27 00:00:00,2020-01-26 00:00:00,2020-01-25 00:00:00,2020-01-24 00:00:00,2020-01-23 00:00:00,2020-01-22 00:00:00,2020-01-21 00:00:00,2020-01-20 00:00:00,2020-01-19 00:00:00,2020-01-18 00:00:00,2020-01-17 00:00:00,2020-01-16 00:00:00,2020-01-15 00:00:00,2020-01-14 00:00:00,2020-01-13 00:00:00,2020-01-12 00:00:00,2020-01-11 00:00:00,2020-01-10 00:00:00,2020-01-09 00:00:00,2020-01-08 00:00:00,2020-01-07 00:00:00,2020-01-06 00:00:00,2020-01-05 00:00:00,2020-01-04 00:00:00,2020-01-03 00:00:00,2020-01-02 00:00:00,2020-01-01 00:00:00,2019-12-31 00:00:00,Latitude,Longitude,Population Desity
38,44.0,38,25,33,57,30,56,49,50,40,67,65,104,105,76,57,63,78,43,41,61,25,64,27,17,43,29,6,15,7,12,9,0,10,6,9,0,0,6,0,0,2,2,0,0,0,3,3,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.5,47.5,120.26531990000001
34,66.0,34,100,29,44,27,145,167,225,96,42,111,64,12,55,56,12,45,0,74,2,52,15,27,7,8,39,29,51,5,28,21,16,13,19,16,7,3,1,48,0,52,1,30,16,7,4,0,3,2,0,6,3,5,0,10,21,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.0,50.55,2017.2737
390,434.0,492,312,306,266,341,219,209,182,139,58,94,112,54,41,35,18,9,5,2,3,2,0,1,0,0,9,0,6,6,3,7,7,0,2,3,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.0,90.0,1239.5793119999998
1,0.0,0,0,0,0,0,2,1,1,3,1,1,3,0,3,4,5,6,0,0,11,0,1,7,2,0,6,0,1,0,3,8,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.17,-59.53,666.6069767000001
558,459.0,1485,0,0,575,476,447,362,341,352,245,495,420,205,161,136,170,43,97,102,0,47,11,0,0,8,0,5,0,5,0,19,0,11,10,0,9,6,0,0,9,3,3,0,0,0,0,0,2,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.0,28.0,46.7287999
933,973.0,1487,1313,1045,1329,1236,2454,530,942,1629,1351,1684,1580,1209,1380,1123,1260,1661,1422,1384,1189,876,1063,1702,1850,1049,1298,668,526,342,586,558,462,309,243,158,199,197,130,160,85,47,28,39,31,60,59,27,10,5,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.83,4.0,377.2149273
0,0.0,0,0,0,0,0,0,0,4,1,3,1,1,1,0,2,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.25,-88.75,16.79399386
0,0.0,17,0,0,0,2,0,0,0,0,0,5,4,0,0,4,6,0,3,0,5,2,0,0,0,0,1,0,0,3,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.5,2.25,101.8539198
1,12.0,0,0,3,0,2,24,0,0,7,2,0,9,0,0,2,0,2,0,3,0,5,5,0,5,2,9,0,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.33,-64.75,1184.592572
1,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.5,90.5,19.77752777
63,11.0,34,44,27,28,24,44,43,24,30,24,8,4,54,16,11,26,18,7,9,8,8,11,15,7,13,22,7,4,1,7,1,4,3,0,1,1,0,0,7,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-17.0,-65.0,10.48014585
2,0.0,0,5,0,0,2,0,0,0,0,0,0,6,1,0,0,2,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-22.0,24.0,3.977424876
2678,2498.0,1927,2055,2917,3257,2105,3058,1832,1261,1442,1089,1781,1930,2210,1661,926,852,1222,1146,1074,1119,1138,323,352,487,502,482,232,310,345,418,224,283,193,137,57,34,79,23,21,25,18,9,0,12,0,5,5,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-10.0,-55.0,25.06171624
49,46.0,14,37,32,46,53,34,28,10,14,26,11,31,16,28,18,28,18,28,35,23,40,13,15,38,29,22,22,19,16,22,36,22,13,11,19,11,10,10,8,16,3,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.0,25.0,64.70353721
